,n,Calinski-Harabasz score,Davies-Bouldin score,Silhouette Coefficient
0,2,162.42434112330116,1.0643191423878258,0.4422360062599182
1,3,192.8434791265973,1.8239110582773377,0.1816856861114502
2,4,160.40320835754986,2.5301174907126067,0.060350559651851654
3,5,123.64325417666524,2.5910904603314826,0.0568038672208786
4,6,104.0333047512918,3.1092651907956976,0.05393705517053604
5,7,91.80213788898928,3.4638334893526896,0.022322753444314003
6,8,79.8170472018628,3.5332519311563626,0.019466465339064598
